institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Colorado Mesa,Wholesale,2004,1,29,41,.70731705,CO
Colorado Mesa,Wholesale,2004,5,36,48,.75,CO
Colorado Mesa,Wholesale,2004,10,35,46,.76086956,CO
Colorado Mesa,Wholesale,2007,1,13,15,.86666667,CO
Colorado Mesa,Wholesale,2007,5,29,55,.5272727,CO
Colorado Mesa,Wholesale,2007,10,26,37,.7027027,CO
Colorado Mesa,Wholesale,2010,1,21,36,.58333331,CO
Colorado Mesa,Wholesale,2010,5,28,39,.71794873,CO
Colorado Mesa,Wholesale,2010,10,31,43,.72093022,CO
Colorado Mesa,Wholesale,2013,1,27,38,.71052629,CO
Colorado Mesa,Wholesale,2013,5,44,56,.78571427,CO
Colorado Mesa,Wholesale,2013,10,,,,CO
Colorado Mesa,Wholesale,2016,1,28,49,.5714286,CO
Colorado Mesa,Wholesale,2016,5,56,84,.66666669,CO
Colorado Mesa,Wholesale,2016,10,,,,CO
Colorado Mesa,Wholesale,2019,1,26,43,.60465115,CO
Colorado Mesa,Wholesale,2019,5,,,,CO
Colorado Mesa,Wholesale,2019,10,,,,CO
Colorado Mesa,Retail,2004,1,90,130,.69230771,CO
Colorado Mesa,Retail,2004,5,43,85,.50588238,CO
Colorado Mesa,Retail,2004,10,42,89,.47191012,CO
Colorado Mesa,Retail,2007,1,75,104,.72115386,CO
Colorado Mesa,Retail,2007,5,69,126,.54761904,CO
Colorado Mesa,Retail,2007,10,45,85,.52941179,CO
Colorado Mesa,Retail,2010,1,110,149,.73825502,CO
Colorado Mesa,Retail,2010,5,63,112,.5625,CO
Colorado Mesa,Retail,2010,10,63,131,.48091602,CO
Colorado Mesa,Retail,2013,1,110,140,.78571427,CO
Colorado Mesa,Retail,2013,5,63,114,.55263156,CO
Colorado Mesa,Retail,2013,10,,,,CO
Colorado Mesa,Retail,2016,1,135,188,.71808511,CO
Colorado Mesa,Retail,2016,5,83,144,.5763889,CO
Colorado Mesa,Retail,2016,10,,,,CO
Colorado Mesa,Retail,2019,1,133,183,.72677594,CO
Colorado Mesa,Retail,2019,5,,,,CO
Colorado Mesa,Retail,2019,10,,,,CO
Colorado Mesa,Transportation,2004,1,18,22,.81818181,CO
Colorado Mesa,Transportation,2004,5,15,18,.83333331,CO
Colorado Mesa,Transportation,2004,10,11,15,.73333335,CO
Colorado Mesa,Transportation,2007,1,8,9,.8888889,CO
Colorado Mesa,Transportation,2007,5,8,27,.2962963,CO
Colorado Mesa,Transportation,2007,10,8,12,.66666669,CO
Colorado Mesa,Transportation,2010,1,7,16,.4375,CO
Colorado Mesa,Transportation,2010,5,8,14,.5714286,CO
Colorado Mesa,Transportation,2010,10,21,28,.75,CO
Colorado Mesa,Transportation,2013,1,17,23,.73913044,CO
Colorado Mesa,Transportation,2013,5,17,33,.5151515,CO
Colorado Mesa,Transportation,2013,10,,,,CO
Colorado Mesa,Transportation,2016,1,12,21,.5714286,CO
Colorado Mesa,Transportation,2016,5,16,34,.47058824,CO
Colorado Mesa,Transportation,2016,10,,,,CO
Colorado Mesa,Transportation,2019,1,26,43,.60465115,CO
Colorado Mesa,Transportation,2019,5,,,,CO
Colorado Mesa,Transportation,2019,10,,,,CO
Colorado Mesa,Information,2004,1,35,48,.72916669,CO
Colorado Mesa,Information,2004,5,32,50,.63999999,CO
Colorado Mesa,Information,2004,10,32,43,.74418604,CO
Colorado Mesa,Information,2007,1,33,35,.94285715,CO
Colorado Mesa,Information,2007,5,34,47,.72340423,CO
