institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
U Montana Western,Health Care,2010,10,48,83,.57831323,MT
U Montana Western,Health Care,2013,1,41,82,.5,MT
U Montana Western,Health Care,2013,5,48,74,.64864862,MT
U Montana Western,Health Care,2013,10,,,,MT
U Montana Western,Health Care,2016,1,49,68,.72058821,MT
U Montana Western,Health Care,2016,5,37,78,.47435898,MT
U Montana Western,Health Care,2016,10,,,,MT
U Montana Western,Health Care,2019,1,54,97,.556701,MT
U Montana Western,Health Care,2019,5,,,,MT
U Montana Western,Health Care,2019,10,,,,MT
U Montana Western,Information,2004,1,0,0,,MT
U Montana Western,Information,2004,5,3,3,1,MT
U Montana Western,Information,2004,10,0,2,0,MT
U Montana Western,Information,2007,1,0,0,,MT
U Montana Western,Information,2007,5,0,4,0,MT
U Montana Western,Information,2007,10,0,1,0,MT
U Montana Western,Information,2010,1,1,4,.25,MT
U Montana Western,Information,2010,5,0,2,0,MT
U Montana Western,Information,2010,10,1,2,.5,MT
U Montana Western,Information,2013,1,0,4,0,MT
U Montana Western,Information,2013,5,3,5,.60000002,MT
U Montana Western,Information,2013,10,,,,MT
U Montana Western,Information,2016,1,2,6,.33333334,MT
U Montana Western,Information,2016,5,1,10,.1,MT
U Montana Western,Information,2016,10,,,,MT
U Montana Western,Information,2019,1,1,5,.2,MT
U Montana Western,Information,2019,5,,,,MT
U Montana Western,Information,2019,10,,,,MT
U Montana Western,Management,2004,1,0,0,,MT
U Montana Western,Management,2004,5,0,0,,MT
U Montana Western,Management,2004,10,0,1,0,MT
U Montana Western,Management,2007,1,1,1,1,MT
U Montana Western,Management,2007,5,1,5,.2,MT
U Montana Western,Management,2007,10,2,6,.33333334,MT
U Montana Western,Management,2010,1,2,5,.40000001,MT
U Montana Western,Management,2010,5,0,1,0,MT
U Montana Western,Management,2010,10,0,10,0,MT
U Montana Western,Management,2013,1,0,7,0,MT
U Montana Western,Management,2013,5,0,3,0,MT
U Montana Western,Management,2013,10,,,,MT
U Montana Western,Management,2016,1,0,4,0,MT
U Montana Western,Management,2016,5,1,5,.2,MT
U Montana Western,Management,2016,10,,,,MT
U Montana Western,Management,2019,1,0,3,0,MT
U Montana Western,Management,2019,5,,,,MT
U Montana Western,Management,2019,10,,,,MT
U Montana Western,Manufacturing,2004,1,3,6,.5,MT
U Montana Western,Manufacturing,2004,5,6,17,.35294119,MT
U Montana Western,Manufacturing,2004,10,6,14,.42857143,MT
U Montana Western,Manufacturing,2007,1,3,16,.1875,MT
U Montana Western,Manufacturing,2007,5,0,4,0,MT
U Montana Western,Manufacturing,2007,10,4,13,.30769232,MT
U Montana Western,Manufacturing,2010,1,4,9,.44444445,MT
U Montana Western,Manufacturing,2010,5,4,18,.22222222,MT
U Montana Western,Manufacturing,2010,10,4,18,.22222222,MT
U Montana Western,Manufacturing,2013,1,6,22,.27272728,MT
U Montana Western,Manufacturing,2013,5,12,31,.38709676,MT
U Montana Western,Manufacturing,2013,10,,,,MT
U Montana Western,Manufacturing,2016,1,7,20,.34999999,MT
U Montana Western,Manufacturing,2016,5,3,15,.2,MT
U Montana Western,Manufacturing,2016,10,,,,MT
U Montana Western,Manufacturing,2019,1,1,14,.071428575,MT
U Montana Western,Manufacturing,2019,5,,,,MT
U Montana Western,Manufacturing,2019,10,,,,MT
U Montana Western,Mining,2004,1,0,0,,MT
U Montana Western,Mining,2004,5,4,4,1,MT
U Montana Western,Mining,2004,10,4,4,1,MT
U Montana Western,Mining,2007,1,0,0,,MT
U Montana Western,Mining,2007,5,1,1,1,MT
U Montana Western,Mining,2007,10,0,0,,MT
U Montana Western,Mining,2010,1,5,5,1,MT
U Montana Western,Mining,2010,5,2,2,1,MT
U Montana Western,Mining,2010,10,0,0,,MT
U Montana Western,Mining,2013,1,0,0,,MT
U Montana Western,Mining,2013,5,5,7,.71428573,MT
U Montana Western,Mining,2013,10,,,,MT
U Montana Western,Mining,2016,1,1,2,.5,MT
U Montana Western,Mining,2016,5,0,0,,MT
U Montana Western,Mining,2016,10,,,,MT
U Montana Western,Mining,2019,1,1,3,.33333334,MT
U Montana Western,Mining,2019,5,,,,MT
U Montana Western,Mining,2019,10,,,,MT
U Montana Western,Other Services,2004,1,4,8,.5,MT
U Montana Western,Other Services,2004,5,4,7,.5714286,MT
U Montana Western,Other Services,2004,10,3,6,.5,MT
U Montana Western,Other Services,2007,1,8,9,.8888889,MT
U Montana Western,Other Services,2007,5,9,10,.89999998,MT
U Montana Western,Other Services,2007,10,5,6,.83333331,MT
U Montana Western,Other Services,2010,1,7,9,.77777779,MT
U Montana Western,Other Services,2010,5,7,17,.41176471,MT
U Montana Western,Other Services,2010,10,11,20,.55000001,MT
U Montana Western,Other Services,2013,1,7,13,.53846157,MT
U Montana Western,Other Services,2013,5,4,9,.44444445,MT
U Montana Western,Other Services,2013,10,,,,MT
U Montana Western,Other Services,2016,1,16,26,.61538464,MT
U Montana Western,Other Services,2016,5,9,12,.75,MT
U Montana Western,Other Services,2016,10,,,,MT
U Montana Western,Other Services,2019,1,7,9,.77777779,MT
U Montana Western,Other Services,2019,5,,,,MT
U Montana Western,Other Services,2019,10,,,,MT
U Montana Western,Professional Services,2004,1,5,6,.83333331,MT
U Montana Western,Professional Services,2004,5,10,15,.66666669,MT
U Montana Western,Professional Services,2004,10,7,15,.46666667,MT
U Montana Western,Professional Services,2007,1,6,13,.46153846,MT
U Montana Western,Professional Services,2007,5,4,9,.44444445,MT
U Montana Western,Professional Services,2007,10,6,16,.375,MT
U Montana Western,Professional Services,2010,1,2,7,.2857143,MT
U Montana Western,Professional Services,2010,5,6,10,.60000002,MT
U Montana Western,Professional Services,2010,10,10,24,.41666666,MT
U Montana Western,Professional Services,2013,1,9,15,.60000002,MT
U Montana Western,Professional Services,2013,5,8,20,.40000001,MT
U Montana Western,Professional Services,2013,10,,,,MT
U Montana Western,Professional Services,2016,1,9,13,.69230771,MT
U Montana Western,Professional Services,2016,5,8,17,.47058824,MT
U Montana Western,Professional Services,2016,10,,,,MT
U Montana Western,Professional Services,2019,1,6,15,.40000001,MT
U Montana Western,Professional Services,2019,5,,,,MT
U Montana Western,Professional Services,2019,10,,,,MT
U Montana Western,Public Admin,2004,1,14,18,.77777779,MT
U Montana Western,Public Admin,2004,5,15,29,.51724136,MT
U Montana Western,Public Admin,2004,10,17,28,.60714287,MT
U Montana Western,Public Admin,2007,1,26,38,.68421054,MT
U Montana Western,Public Admin,2007,5,24,29,.82758623,MT
U Montana Western,Public Admin,2007,10,26,40,.64999998,MT
U Montana Western,Public Admin,2010,1,26,49,.53061223,MT
U Montana Western,Public Admin,2010,5,26,52,.5,MT
U Montana Western,Public Admin,2010,10,32,57,.56140351,MT
U Montana Western,Public Admin,2013,1,26,48,.54166669,MT
U Montana Western,Public Admin,2013,5,36,69,.52173913,MT
U Montana Western,Public Admin,2013,10,,,,MT
U Montana Western,Public Admin,2016,1,26,42,.61904764,MT
U Montana Western,Public Admin,2016,5,22,47,.46808511,MT
U Montana Western,Public Admin,2016,10,,,,MT
U Montana Western,Public Admin,2019,1,22,47,.46808511,MT
U Montana Western,Public Admin,2019,5,,,,MT
U Montana Western,Public Admin,2019,10,,,,MT
U Montana Western,Real Estate,2004,1,2,2,1,MT
U Montana Western,Real Estate,2004,5,1,1,1,MT
